#Groupname	Controlname	Replicatename	spikename	email	path_to_r1_fastq	path_to_r2_fastq
iEF197	NA	R1	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R1/H7_20-0646_iEF197R1_S56_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R1/H7_20-0646_iEF197R1_S56_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R1/H7_20-0646_iEF197R1_S56_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R1/H7_20-0646_iEF197R1_S56_L002_R2_001.sub.fastq.gz
iEF197	NA	R2	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A9_20-0655_197R2/A9_20-0655_iEF197R2_S65_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A9_20-0655_197R2/A9_20-0655_iEF197R2_S65_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A9_20-0655_197R2/A9_20-0655_iEF197R2_S65_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A9_20-0655_197R2/A9_20-0655_iEF197R2_S65_L001_R2_001.sub.fastq.gz
iEF197	NA	R3	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R3/H7_20-0646_iEF197R3_S56_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R3/H7_20-0646_iEF197R3_S56_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R3/H7_20-0646_iEF197R3_S56_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/H7_20-0646_197R3/H7_20-0646_iEF197R3_S56_L002_R2_001.sub.fastq.gz
iEF714	iEF197	R1	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R1/A8_20-0647_iEF714R1_S57_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R1/A8_20-0647_iEF714R1_S57_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R1/A8_20-0647_iEF714R1_S57_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R1/A8_20-0647_iEF714R1_S57_L002_R2_001.sub.fastq.gz
iEF714	iEF197	R2	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/B9_20-0656_714R2/B9_20-0656_iEF714R2_S66_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/B9_20-0656_714R2/B9_20-0656_iEF714R2_S66_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/B9_20-0656_714R2/B9_20-0656_iEF714R2_S66_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/B9_20-0656_714R2/B9_20-0656_iEF714R2_S66_L002_R2_001.sub.fastq.gz
iEF714	iEF197	R3	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R3/A8_20-0647_iEF714R3_S57_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R3/A8_20-0647_iEF714R3_S57_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R3/A8_20-0647_iEF714R3_S57_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/A8_20-0647_714R3/A8_20-0647_iEF714R3_S57_L002_R2_001.sub.fastq.gz
iEF563	iEF197	R1	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R1/C8_20-0649_iEF563R1_S59_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R1/C8_20-0649_iEF563R1_S59_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R1/C8_20-0649_iEF563R1_S59_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R1/C8_20-0649_iEF563R1_S59_L002_R2_001.sub.fastq.gz
iEF563	iEF197	R2	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/D9_20-0658_563R2/D9_20-0658_iEF563R2_S68_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/D9_20-0658_563R2/D9_20-0658_iEF563R2_S68_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/D9_20-0658_563R2/D9_20-0658_iEF563R2_S68_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/D9_20-0658_563R2/D9_20-0658_iEF563R2_S68_L002_R2_001.sub.fastq.gz
iEF563	iEF197	R3	NA	NA	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R3/C8_20-0649_iEF563R3_S59_L001_R1_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R3/C8_20-0649_iEF563R3_S59_L002_R1_001.sub.fastq.gz	/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R3/C8_20-0649_iEF563R3_S59_L001_R2_001.sub.fastq.gz,/gpfs0/home2/gdtheisenlab/lab/data/test_samples_CT/rnaseq_test/fastq/C8_20-0649_563R3/C8_20-0649_iEF563R3_S59_L002_R2_001.sub.fastq.gz
# Do NOT put empty line between this comments and your samples information
