Id	geneSymbol	iEF_emptyrep1	iEF_emptyrep2	iEF_EFrep1	iEF_EFrep2	iEF_EE4rep1	iEF_EE4rep2	norm.iEF_emptyrep1	norm.iEF_emptyrep2	norm.iEF_EFrep1	norm.iEF_EFrep2	norm.iEF_EE4rep1	norm.iEF_EE4rep2	baseMean	iEF_empty	iEF_EF	iEF_EE4	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
AAAS	NA	0	1	0	1	0	0	0	1	0	1	0	0	0.33	0	0	0	-2.343	-1.228	0.521334797777089	1	0	0.0073	0.0073	0.0073	TRUE	NA
AACS	NA	0	0	0	1	1	0	0	0	0	1	1	0	0.31	0	0	0	1.061	0.086	0.966515111192824	1	0	0.0056	0.0056	0.0056	TRUE	NA
AAGAB	NA	0	1	1	1	0	0	0	1	1	1	0	0	0.49	0	1	0	-4.973	-2.314	0.206419163907969	1	0	0.0937	0.0958	0.0958	TRUE	NA
AAK1	NA	1	1	2	2	2	0	1	1	2	2	2	0	1.3	1	2	1	-2.586	-1.371	0.623848592741426	1	0	5.403	2.8272	2.8272	TRUE	NA
AAMP	NA	1	0	1	0	0	1	1	0	1	0	0	1	0.49	0	0	0	1.073	0.102	0.958321103264563	1	0	0.1051	0.1075	0.1075	TRUE	NA
AARS1	NA	5	2	0	7	3	7	5	2	0	6	3	7	3.89	4	3	5	1.858	0.894	0.530101482401841	1	1.1361	0.5446	0.6638	0.6638	TRUE	NA
AARS2	NA	1	0	0	0	0	1	1	0	0	0	0	1	0.34	0	0	0	2.884	1.528	0.454873197435634	1	0	0.0086	0.0087	0.0087	TRUE	NA
AASDHPPT	NA	1	0	1	2	1	3	1	0	1	2	1	3	1.28	0	2	2	1.41	0.495	0.852654035794143	1	0	5.4101	2.8205	2.8205	TRUE	NA
AASS	NA	1	1	3	1	2	2	1	1	3	1	2	2	1.63	1	2	2	1.135	0.183	0.933262719868937	1	0	3.9302	1.7785	1.7785	TRUE	NA
AATF	NA	0	0	2	0	2	1	0	0	2	0	2	1	0.81	0	1	2	2.025	1.018	0.689890918868067	1	0	2.0292	2.0956	2.0956	TRUE	NA
ABCA1	NA	1	0	0	0	0	1	1	0	0	0	0	1	0.34	0	0	0	2.884	1.528	0.454873197435634	1	0	0.0086	0.0087	0.0087	TRUE	NA
ABCA2	NA	2	1	0	1	0	1	2	1	0	1	0	1	0.84	2	0	0	1.065	0.091	0.973418415604661	1	0	2.3412	1.9073	1.9073	TRUE	NA
ABCA7	NA	0	2	0	0	0	0	0	2	0	0	0	0	0.36	1	0	0	1	0	1	1	0	0.0127	0.0128	0.0128	TRUE	NA
ABCA8	NA	2	1	0	0	0	0	2	1	0	0	0	0	0.53	2	0	0	1	0	1	1	0	0.1592	0.1718	0.1718	TRUE	NA
ABCB6	NA	0	0	0	1	0	1	0	0	0	1	0	1	0.31	0	0	0	1.067	0.094	0.957540456390582	1	0	0.0052	0.0052	0.0052	TRUE	NA
ABCB7	NA	0	1	1	0	0	0	0	1	1	0	0	0	0.34	0	0	0	-2.562	-1.357	0.505685105096702	1	0	0.0089	0.0089	0.0089	TRUE	NA
ABCB8	NA	0	0	0	2	0	1	0	0	0	2	0	1	0.46	0	1	0	-1.623	-0.699	0.664478265333187	1	0	0.0645	0.0664	0.0664	TRUE	NA
ABCC1	NA	2	0	0	0	0	1	2	0	0	0	0	1	0.51	1	0	0	2.874	1.523	0.458922934800811	1	0	0.1285	0.1393	0.1393	TRUE	NA
ABCC4	NA	0	0	1	1	1	3	0	0	1	1	1	3	0.96	0	1	2	1.945	0.96	0.721818773207181	1	0	3.6585	2.7194	2.7194	TRUE	NA
ABCC5	NA	1	0	1	1	0	0	1	0	1	1	0	0	0.48	0	1	0	-5.009	-2.324	0.203100607287201	1	0	0.0888	0.0907	0.0907	TRUE	NA
ABCD4	NA	0	1	0	1	1	0	0	1	0	1	1	0	0.49	0	0	0	1.08	0.111	0.954496544744023	1	0	0.1015	0.1037	0.1037	TRUE	NA
ABCE1	NA	2	0	2	2	1	7	2	0	2	2	1	7	2.26	1	2	4	2.085	1.06	0.583394284532272	1	0	1.6265	1.4187	1.4187	TRUE	NA
ABCF2	NA	0	0	0	1	0	1	0	0	0	1	0	1	0.31	0	0	0	1.067	0.094	0.957540456390582	1	0	0.0052	0.0052	0.0052	TRUE	NA
ABCF3	NA	2	0	1	0	1	1	2	0	1	0	1	1	0.83	1	0	1	2.573	1.363	0.594062699523289	1	0	2.3039	1.8681	1.8681	TRUE	NA
ABHD10	NA	0	2	0	1	0	0	0	2	0	1	0	0	0.51	1	0	0	-2.238	-1.162	0.552903864711838	1	0	0.121	0.1275	0.1275	TRUE	NA
ABHD12	NA	0	0	2	1	0	1	0	0	2	1	0	1	0.63	0	2	0	-2.885	-1.528	0.435565373172473	1	0	0.5024	0.5468	0.5468	TRUE	NA
ABHD17A	NA	0	1	1	0	0	0	0	1	1	0	0	0	0.34	0	0	0	-2.562	-1.357	0.505685105096702	1	0	0.0089	0.0089	0.0089	TRUE	NA
ABHD17B	NA	1	0	0	1	0	1	1	0	0	1	0	1	0.48	0	0	0	1.064	0.09	0.96290964984116	1	0	0.0919	0.0937	0.0937	TRUE	NA
ABHD2	NA	0	0	1	1	0	0	0	0	1	1	0	0	0.31	0	1	0	-5.124	-2.357	0.182919441263206	1	0	0.0049	0.005	0.005	TRUE	NA
ABHD6	NA	2	2	1	3	2	3	2	2	1	3	2	3	2.12	2	2	2	1.403	0.488	0.781891203329996	1	0	1.8722	1.0138	1.0138	TRUE	NA
ABI1	NA	0	2	0	0	0	1	0	2	0	0	0	1	0.52	1	0	0	2.534	1.341	0.496902758291473	1	0	0.142	0.151	0.151	TRUE	NA
ABI2	NA	4	2	1	4	2	3	4	2	1	4	2	3	2.62	3	2	2	1.116	0.158	0.920439213474497	1	0	1.1796	0.7898	0.7898	TRUE	NA
ABI3BP	NA	1	1	1	0	0	0	1	1	1	0	0	0	0.51	1	0	0	-2.518	-1.332	0.517277602700699	1	0	0.1309	0.1349	0.1349	TRUE	NA
ABL1	NA	0	1	4	6	6	4	0	1	4	5	6	4	3.34	0	4	5	1.101	0.139	0.910640258566554	1	0	0.7227	0.5394	0.5394	TRUE	NA
ABL2	NA	3	1	2	0	3	2	3	1	2	0	3	2	1.84	2	1	2	3.662	1.873	0.411111433067268	1	0	2.7938	1.6428	1.6428	TRUE	NA
ABLIM1	NA	3	1	2	0	1	1	3	1	2	0	1	1	1.35	2	1	1	1.61	0.687	0.809461100324274	1	0	5.339	2.7473	2.7473	TRUE	NA
ABR	NA	3	0	1	2	2	2	3	0	1	2	2	2	1.63	2	2	2	1.331	0.413	0.867917348047413	1	0	3.9207	2.4003	2.4003	TRUE	NA
ABRAXAS2	NA	0	0	0	3	2	0	0	0	0	3	2	0	0.78	0	2	1	-1.287	-0.364	0.938929682041986	1	10	1.6845	3.206	10	TRUE	NA
ABT1	NA	0	1	1	2	2	0	0	1	1	2	2	0	0.96	0	2	1	-1.315	-0.396	0.888128445770865	1	0	3.7406	2.9811	2.9811	TRUE	NA
ABTB2	NA	0	0	1	0	2	0	0	0	1	0	2	0	0.49	0	0	1	1.826	0.869	0.597238572925931	1	0	0.0971	0.1013	0.1013	TRUE	NA
ACAA2	NA	0	1	0	1	1	2	0	1	0	1	1	2	0.81	0	0	2	3.352	1.745	0.471505921427693	1	0	2.0924	1.67	1.67	TRUE	NA
ACACA	NA	2	1	2	0	3	3	2	1	2	0	3	3	1.82	2	1	3	4.449	2.153	0.351009308748838	1	0	2.8541	1.7318	1.7318	TRUE	NA
ACADVL	NA	3	3	2	3	0	3	3	3	2	3	0	3	2.31	3	2	2	-1.973	-0.981	0.607602405239514	1	0	1.5521	1.1057	1.1057	TRUE	NA
ACAP2	NA	2	4	1	4	1	1	2	4	1	4	1	1	2.14	3	2	1	-2.037	-1.027	0.593482657066566	1	0	1.8358	1.038	1.038	TRUE	NA
ACAP3	NA	1	1	0	0	1	2	1	1	0	0	1	2	0.84	1	0	2	8.401	3.071	0.236847845350371	1	0	2.3752	1.8921	1.8921	TRUE	NA
ACAT1	NA	0	2	0	0	1	0	0	2	0	0	1	0	0.52	1	0	0	2.877	1.525	0.460751828152783	1	0	0.1485	0.1635	0.1635	TRUE	NA
ACAT2	NA	1	1	0	1	1	0	1	1	0	1	1	0	0.67	1	0	0	1.064	0.09	0.969493090350879	1	0	0.7365	0.6781	0.6781	TRUE	NA
ACBD3	NA	2	0	1	0	1	0	2	0	1	0	1	0	0.67	1	0	0	1.056	0.078	0.970558349731866	1	0	0.7792	0.8425	0.8425	TRUE	NA
ACBD6	NA	2	1	0	1	0	0	2	1	0	1	0	0	0.68	2	0	0	-2.518	-1.332	0.582758407259853	1	0	0.8029	0.8772	0.8772	TRUE	NA
ACER3	NA	1	1	1	1	0	1	1	1	1	1	0	1	0.82	1	1	0	-1.985	-0.989	0.683740747317898	1	0	2.1693	1.4293	1.4293	TRUE	NA
ACIN1	NA	1	2	4	1	3	1	1	2	4	1	3	1	1.97	2	2	2	-1.153	-0.205	0.916121843670378	1	0	2.2711	1.3135	1.3135	TRUE	NA
ACLY	NA	3	3	6	9	3	5	3	3	6	8	3	5	4.65	3	7	4	-1.77	-0.824	0.40861515005297	1	0	0.4117	0.2815	0.2815	TRUE	NA
ACO1	NA	1	1	0	2	1	0	1	1	0	2	1	0	0.82	1	1	0	-1.646	-0.719	0.783593763851105	1	0	2.0977	1.8229	1.8229	TRUE	NA
ACO2	NA	0	2	0	2	3	0	0	2	0	2	3	0	1.15	1	1	2	4.383	2.132	0.573651037223916	1	9.9903	5.1372	6.0155	6.0155	TRUE	NA
ACOT13	NA	1	1	1	0	1	0	1	1	1	0	1	0	0.68	1	0	0	1.056	0.079	0.971516434160542	1	0	0.807	0.7549	0.7549	TRUE	NA
ACOT7	NA	2	0	1	1	0	0	2	0	1	1	0	0	0.66	1	1	0	-5.063	-2.34	0.280195308123311	1	0	0.6707	0.7377	0.7377	TRUE	NA
ACOT9	NA	0	0	0	1	1	1	0	0	0	1	1	1	0.48	0	0	1	2.111	1.078	0.536546087158328	1	0	0.0807	0.0823	0.0823	TRUE	NA
ACOX1	NA	1	2	0	4	0	0	1	2	0	4	0	0	1.13	2	2	0	-5.698	-2.51	0.49462938030501	1	0	5.0274	4.9545	4.9545	TRUE	NA
ACP1	NA	1	1	1	2	0	1	1	1	1	2	0	1	0.97	1	2	0	-2.864	-1.518	0.566413621716596	1	0	3.8013	2.1383	2.1383	TRUE	NA
ACP2	NA	0	3	3	0	1	1	0	3	3	0	1	1	1.34	2	2	1	-1.442	-0.528	0.874448614535737	1	0	5.3535	4.5412	4.5412	TRUE	NA
ACSF2	NA	0	0	0	1	0	1	0	0	0	1	0	1	0.31	0	0	0	1.067	0.094	0.957540456390582	1	0	0.0052	0.0052	0.0052	TRUE	NA
ACSL3	NA	2	5	2	1	1	1	2	5	2	1	1	1	2.03	4	2	1	-1.444	-0.53	0.795924956528505	1	0	2.0875	1.1906	1.1906	TRUE	NA
ACSL4	NA	0	0	2	0	0	1	0	0	2	0	0	1	0.48	0	1	0	-1.829	-0.871	0.620300374116245	1	0	0.0854	0.0903	0.0903	TRUE	NA
ACSS1	NA	0	1	0	0	1	0	0	1	0	0	1	0	0.34	0	0	0	2.884	1.528	0.455022121886691	1	0	0.0099	0.01	0.01	TRUE	NA
ACSS3	NA	1	2	1	0	1	1	1	2	1	0	1	1	1.02	2	0	1	2.181	1.125	0.689633065656939	1	0	4.2379	2.3585	2.3585	TRUE	NA
ACTA2	NA	1	0	0	0	1	1	1	0	0	0	1	1	0.5	0	0	1	5.625	2.492	0.176124187101652	1	0	0.1137	0.1166	0.1166	TRUE	NA
ACTB	NA	71	61	70	71	50	45	74	65	67	63	49	44	60.45	70	65	46	-1.4	-0.486	0.0489987005333041	1	0	0.0148	0.0116	0.0116	TRUE	NA
ACTG1	NA	34	41	40	29	22	30	36	44	38	26	22	29	32.38	40	32	26	-1.256	-0.329	0.336299981240691	1	0	0.0211	0.0227	0.0227	TRUE	NA
ACTL6A	NA	1	1	3	5	2	2	1	1	3	4	2	2	2.23	1	4	2	-1.845	-0.884	0.592292555541854	1	0	1.6811	0.9301	0.9301	TRUE	NA
ACTN1	NA	3	4	0	1	3	7	3	4	0	1	3	7	3.01	4	0	5	10.378	3.375	0.0625574937438405	1	0	0.8908	0.632	0.632	TRUE	NA
ACTN2	NA	0	0	1	1	4	2	0	0	1	1	4	2	1.29	0	1	3	3.064	1.616	0.588577696448511	1	0	5.4073	3.6127	3.6127	TRUE	NA
ACTN4	NA	8	1	6	7	8	8	8	1	6	6	8	8	6.18	4	6	8	1.298	0.376	0.687284144041372	1	0	0.2914	0.2802	0.2802	TRUE	NA
ACTR10	NA	0	0	1	0	0	2	0	0	1	0	0	2	0.48	0	0	1	2.051	1.036	0.555191787659848	1	0	0.0883	0.0935	0.0935	TRUE	NA
ACTR1A	NA	2	4	3	1	4	5	2	4	3	1	4	5	3.15	3	2	4	2.361	1.24	0.37380467396367	1	0	0.8103	0.5745	0.5745	TRUE	NA
ACTR1B	NA	0	1	0	1	0	2	0	1	0	1	0	2	0.65	0	0	1	1.694	0.76	0.698055020387698	1	0	0.6288	0.678	0.678	TRUE	NA
ACTR2	NA	3	3	5	6	7	4	3	3	5	5	7	4	4.54	3	5	6	1.046	0.065	0.947988603104707	1	0	0.4256	0.2976	0.2976	TRUE	NA
ACTR3	NA	2	1	2	2	5	5	2	1	2	2	5	5	2.77	2	2	5	2.657	1.41	0.326708997861634	1	0	1.0509	0.643	0.643	TRUE	NA
ACTR3B	NA	0	0	0	1	0	1	0	0	0	1	0	1	0.31	0	0	0	1.067	0.094	0.957540456390582	1	0	0.0052	0.0052	0.0052	TRUE	NA
ACTR6	NA	1	0	0	0	0	1	1	0	0	0	0	1	0.34	0	0	0	2.884	1.528	0.454873197435634	1	0	0.0086	0.0087	0.0087	TRUE	NA
ACTR8	NA	1	0	0	1	1	0	1	0	0	1	1	0	0.49	0	0	0	1.044	0.063	0.974378779046757	1	0	0.0963	0.0983	0.0983	TRUE	NA
ACVR1	NA	0	2	0	0	0	0	0	2	0	0	0	0	0.36	1	0	0	1	0	1	1	0	0.0127	0.0128	0.0128	TRUE	NA
ACVR1B	NA	0	0	1	1	0	1	0	0	1	1	0	1	0.47	0	1	0	-1.86	-0.896	0.608238163143654	1	0	0.0743	0.0757	0.0757	TRUE	NA
ACVR2A	NA	0	0	0	1	1	0	0	0	0	1	1	0	0.31	0	0	0	1.061	0.086	0.966515111192824	1	0	0.0056	0.0056	0.0056	TRUE	NA
ACVR2B	NA	0	0	1	1	0	0	0	0	1	1	0	0	0.31	0	1	0	-5.124	-2.357	0.182919441263206	1	0	0.0049	0.005	0.005	TRUE	NA
ADAM10	NA	2	0	2	1	4	2	2	0	2	1	4	2	1.8	1	2	3	2.159	1.11	0.610073840798316	1	0	2.9793	1.6989	1.6989	TRUE	NA
ADAM15	NA	0	1	0	1	0	0	0	1	0	1	0	0	0.33	0	0	0	-2.343	-1.228	0.521334797777089	1	0	0.0073	0.0073	0.0073	TRUE	NA
ADAM17	NA	2	0	0	1	0	1	2	0	0	1	0	1	0.66	1	0	0	1.064	0.09	0.969661653977869	1	0	0.6868	0.8111	0.8111	TRUE	NA
ADAM19	NA	1	4	2	0	0	1	1	4	2	0	0	1	1.37	2	1	0	-2.478	-1.309	0.696872102374635	1	0	5.2911	4.0996	4.0996	TRUE	NA
ADAM22	NA	0	0	0	0	0	2	0	0	0	0	0	2	0.32	0	0	1	5.057	2.338	0.196205987311535	1	0	0.0067	0.0067	0.0067	TRUE	NA
ADAM9	NA	3	2	2	0	1	0	3	2	2	0	1	0	1.36	2	1	0	-1.466	-0.552	0.863327230763226	1	0	5.3017	3.5367	3.5367	TRUE	NA
ADAMTS1	NA	0	1	1	0	0	1	0	1	1	0	0	1	0.5	0	0	0	1.047	0.066	0.972803998004094	1	0	0.1106	0.1134	0.1134	TRUE	NA
ADAMTS12	NA	1	3	0	0	0	0	1	3	0	0	0	0	0.71	2	0	0	1	0	1	1	0	1.062	1.4769	1.4769	TRUE	NA
ADAMTS4	NA	3	1	1	2	1	3	3	1	1	2	1	3	1.81	2	2	2	1.397	0.482	0.820606329184201	1	0	2.9336	1.5656	1.5656	TRUE	NA
ADAP1	NA	0	0	2	1	0	0	0	0	2	1	0	0	0.47	0	2	0	-7.54	-2.915	0.0895231019932765	1	0	0.0718	0.0745	0.0745	TRUE	NA
ADAR	NA	8	7	6	9	12	8	8	7	6	8	12	8	8.2	8	7	10	1.408	0.494	0.512711598224281	1	0	0.208	0.1569	0.1569	TRUE	NA
ADARB1	NA	0	2	0	0	0	0	0	2	0	0	0	0	0.36	1	0	0	1	0	1	1	0	0.0127	0.0128	0.0128	TRUE	NA
ADAT1	NA	0	2	1	0	0	0	0	2	1	0	0	0	0.52	1	0	0	-2.551	-1.351	0.511152057542458	1	0	0.1376	0.1507	0.1507	TRUE	NA
ADCY6	NA	0	4	1	1	2	1	0	4	1	1	2	1	1.51	2	1	2	1.744	0.803	0.772050147448192	1	0	4.6673	2.8832	2.8832	TRUE	NA
ADCY7	NA	0	0	0	1	1	0	0	0	0	1	1	0	0.31	0	0	0	1.061	0.086	0.966515111192824	1	0	0.0056	0.0056	0.0056	TRUE	NA
ADCY9	NA	3	0	1	1	0	0	3	0	1	1	0	0	0.83	2	1	0	-5.381	-2.428	0.401965282866642	1	0	2.27	2.5207	2.5207	TRUE	NA
ADD1	NA	2	3	2	7	6	4	2	3	2	6	6	4	3.88	2	4	5	1.307	0.387	0.738147992069519	1	0	0.5486	0.4251	0.4251	TRUE	NA
ADD3	NA	0	5	0	1	1	0	0	5	0	1	1	0	1.21	2	0	0	1.968	0.977	0.798441654589717	1	0	5.3284	5.6396	5.6396	TRUE	NA
