Id	geneSymbol	iEF_emptyrep1	iEF_emptyrep2	iEF_EFrep1	iEF_EFrep2	iEF_EE4rep1	iEF_EE4rep2	norm.iEF_emptyrep1	norm.iEF_emptyrep2	norm.iEF_EFrep1	norm.iEF_EFrep2	norm.iEF_EE4rep1	norm.iEF_EE4rep2	baseMean	iEF_empty	iEF_EF	iEF_EE4	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENSG00000115414	FN1	413	608	96	112	115	154	433	649	92	102	112	145	255.53	541	97	128	-5.53	-2.467	2.90027033863679e-40	3.23380142758002e-37	0.0082	0.0111	0.0107	0.0107	TRUE	NA
ENSG00000041982	TNC	76	159	11	21	18	42	80	170	10	19	18	40	56.04	125	14	29	-8.366	-3.065	4.08703429479581e-16	2.27852161934867e-13	0	0.0342	0.0306	0.0306	TRUE	NA
ENSG00000108821	COL1A1	48	70	3	4	24	23	50	75	3	4	23	22	29.45	62	4	22	-19.117	-4.257	1.07186868814304e-10	3.98377862426497e-08	0.0211	0.0604	0.0569	0.0569	TRUE	NA
ENSG00000164692	COL1A2	41	88	8	12	8	25	43	94	8	11	8	24	31.15	68	10	16	-7.22	-2.852	4.88563584696557e-09	1.36187099234165e-06	0	0.0573	0.0535	0.0535	TRUE	NA
ENSG00000113140	SPARC	29	46	3	6	4	7	30	49	3	5	4	7	16.39	40	4	6	-9.648	-3.27	2.03972066964521e-06	0.000454857709330881	0	0.1102	0.0987	0.0987	TRUE	NA
ENSG00000115457	IGFBP2	23	43	5	6	6	10	24	46	5	5	6	9	15.92	35	5	8	-6.676	-2.739	3.50275678286667e-05	0.00650928968816057	0.0046	0.1138	0.1024	0.1024	TRUE	NA
ENSG00000182492	BGN	12	16	0	0	4	4	13	17	0	0	4	4	6.22	15	0	4	-86.02	-6.427	0.000125453007810809	0.0199828719584359	0	0.337	0.3131	0.3131	TRUE	NA
ENSG00000115461	IGFBP5	14	28	1	2	3	4	15	30	1	2	3	4	9.01	22	2	4	-15.872	-3.988	0.000250799290814334	0.0284850290012184	0	0.2236	0.2009	0.2009	TRUE	NA
ENSG00000124942	AHNAK	25	43	10	6	13	7	26	46	10	5	13	7	17.74	36	8	10	-4.905	-2.294	0.000237725823037183	0.0284850290012184	0.1775	0.101	0.1101	0.1101	TRUE	NA
ENSG00000135318	NT5E	8	18	0	0	4	1	8	19	0	0	4	1	5.41	14	0	2	-80.276	-6.327	0.00025547111211855	0.0284850290012184	1.0508	0.3645	0.3998	0.3998	TRUE	NA
ENSG00000142156	COL6A1	8	16	0	0	2	3	8	17	0	0	2	3	5.04	12	0	2	-70.612	-6.142	0.000321117538686551	0.0325496414214095	0	0.3787	0.3554	0.3554	TRUE	NA
ENSG00000168542	COL3A1	18	43	8	3	3	8	19	46	8	3	3	8	14.27	32	6	6	-5.719	-2.516	0.000502325787041009	0.0466744377125604	0.3533	0.1291	0.1465	0.1465	TRUE	NA
