Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
iEF_EE4_rep1_r1_fastq	20000	3475	20000	2848597	7376	2835257	0.4683007108411614
iEF_EE4_rep1_r2_fastq	20000	2949	20000	2698779	3958	2689747	0.33466986366797724
iEF_EE4_rep2_r1_fastq	20000	3618	20000	2831384	8953	2815657	0.5554527397202217
iEF_EE4_rep2_r2_fastq	20000	2798	20000	2684520	4406	2675466	0.33726699745205846
iEF_EF_rep1_r1_fastq	20000	3578	20000	2815987	7709	2802204	0.48945538455965887
iEF_EF_rep1_r2_fastq	20000	2949	20000	2672948	4015	2663916	0.3379040669702516
iEF_EF_rep2_r1_fastq	20000	3383	20000	2854552	9293	2839822	0.5160179250544393
iEF_EF_rep2_r2_fastq	20000	2746	20000	2702235	4002	2693435	0.32565635483220373
iEF_empty_rep1_r1_fastq	20000	3661	20000	2814504	9956	2798711	0.5611290657252574
iEF_empty_rep1_r2_fastq	20000	2931	20000	2670300	3601	2661952	0.31262404973223984
iEF_empty_rep2_r1_fastq	20000	3411	20000	2838848	7958	2825302	0.47716538539576614
iEF_empty_rep2_r2_fastq	20000	2889	20000	2690551	4940	2680846	0.360706784595423
