Module	Section	Sample Name	Source
featureCounts	all_sections	iEF_empty_rep2	/mnt/outputs/STAR_2pass/Pass2/iEF_empty_rep2_counts.txt.summary
featureCounts	all_sections	iEF_EE4_rep1	/mnt/outputs/STAR_2pass/Pass2/iEF_EE4_rep1_counts.txt.summary
featureCounts	all_sections	iEF_EF_rep1	/mnt/outputs/STAR_2pass/Pass2/iEF_EF_rep1_counts.txt.summary
featureCounts	all_sections	iEF_EE4_rep2	/mnt/outputs/STAR_2pass/Pass2/iEF_EE4_rep2_counts.txt.summary
featureCounts	all_sections	iEF_EF_rep2	/mnt/outputs/STAR_2pass/Pass2/iEF_EF_rep2_counts.txt.summary
featureCounts	all_sections	iEF_empty_rep1	/mnt/outputs/STAR_2pass/Pass2/iEF_empty_rep1_counts.txt.summary
STAR	SummaryLog	iEF_empty_rep1	/mnt/outputs/STAR_2pass/Pass2/iEF_empty_rep1_Log.final.out
STAR	SummaryLog	iEF_empty_rep2	/mnt/outputs/STAR_2pass/Pass2/iEF_empty_rep2_Log.final.out
STAR	SummaryLog	iEF_EE4_rep2	/mnt/outputs/STAR_2pass/Pass2/iEF_EE4_rep2_Log.final.out
STAR	SummaryLog	iEF_EF_rep2	/mnt/outputs/STAR_2pass/Pass2/iEF_EF_rep2_Log.final.out
STAR	SummaryLog	iEF_EE4_rep1	/mnt/outputs/STAR_2pass/Pass2/iEF_EE4_rep1_Log.final.out
STAR	SummaryLog	iEF_EF_rep1	/mnt/outputs/STAR_2pass/Pass2/iEF_EF_rep1_Log.final.out
Cutadapt	all_sections	iEF_empty_rep2_r1_fastq	/mnt/outputs/trim/iEF_empty_rep2_r1_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_empty_rep2_r2_fastq	/mnt/outputs/trim/iEF_empty_rep2_r2_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EF_rep2_r1_fastq	/mnt/outputs/trim/iEF_EF_rep2_r1_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EF_rep2_r2_fastq	/mnt/outputs/trim/iEF_EF_rep2_r2_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_empty_rep1_r1_fastq	/mnt/outputs/trim/iEF_empty_rep1_r1_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_empty_rep1_r2_fastq	/mnt/outputs/trim/iEF_empty_rep1_r2_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EE4_rep1_r1_fastq	/mnt/outputs/trim/iEF_EE4_rep1_r1_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EE4_rep1_r2_fastq	/mnt/outputs/trim/iEF_EE4_rep1_r2_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EE4_rep2_r1_fastq	/mnt/outputs/trim/iEF_EE4_rep2_r1_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EE4_rep2_r2_fastq	/mnt/outputs/trim/iEF_EE4_rep2_r2_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EF_rep1_r1_fastq	/mnt/outputs/trim/iEF_EF_rep1_r1_fastq.gz_trimming_report.txt
Cutadapt	all_sections	iEF_EF_rep1_r2_fastq	/mnt/outputs/trim/iEF_EF_rep1_r2_fastq.gz_trimming_report.txt
FastQC	all_sections	iEF_empty_rep1_val_2	/mnt/outputs/fastqc_rslt/iEF_empty_rep1_val_2_fastqc.zip
FastQC	all_sections	iEF_EE4_rep1_val_2	/mnt/outputs/fastqc_rslt/iEF_EE4_rep1_val_2_fastqc.zip
FastQC	all_sections	iEF_EE4_rep1_val_1	/mnt/outputs/fastqc_rslt/iEF_EE4_rep1_val_1_fastqc.zip
FastQC	all_sections	iEF_EE4_rep2_val_1	/mnt/outputs/fastqc_rslt/iEF_EE4_rep2_val_1_fastqc.zip
FastQC	all_sections	iEF_EF_rep1_val_2	/mnt/outputs/fastqc_rslt/iEF_EF_rep1_val_2_fastqc.zip
FastQC	all_sections	iEF_empty_rep1_val_1	/mnt/outputs/fastqc_rslt/iEF_empty_rep1_val_1_fastqc.zip
FastQC	all_sections	iEF_EF_rep2_val_2	/mnt/outputs/fastqc_rslt/iEF_EF_rep2_val_2_fastqc.zip
FastQC	all_sections	iEF_EF_rep1_val_1	/mnt/outputs/fastqc_rslt/iEF_EF_rep1_val_1_fastqc.zip
FastQC	all_sections	iEF_EF_rep2_val_1	/mnt/outputs/fastqc_rslt/iEF_EF_rep2_val_1_fastqc.zip
FastQC	all_sections	iEF_empty_rep2_val_2	/mnt/outputs/fastqc_rslt/iEF_empty_rep2_val_2_fastqc.zip
FastQC	all_sections	iEF_empty_rep2_val_1	/mnt/outputs/fastqc_rslt/iEF_empty_rep2_val_1_fastqc.zip
FastQC	all_sections	iEF_EE4_rep2_val_2	/mnt/outputs/fastqc_rslt/iEF_EE4_rep2_val_2_fastqc.zip
